Unnamed: 0.1,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,PCA1,PCA2,Cluster
535,535,summer squash raw,42,0.5,0.1,0.048,0.2,8.7,5.7,3.1,2.9,0.0,0.051,246.1,0.0,0.0,0.1,0.019,0.0,0.4,1.3,0.4,0.6,44.2,0.0,0.3,0.009,39.0,0.1,0.9,44.2,0.5,98.8,681.2,0.096,15.958,-0.6271506762330962,-0.5496446506928861,1
536,536,sweet potato raw,112,0.002,0.036,0.008,0.015,26.2,5.4,2.0,3.9,0.0,0.079,100.5,0.0,0.0,0.1,0.049,0.0,0.081,0.7,1.0,0.3,3.1,0.0,0.3,0.048,39.0,0.2,0.8,32.5,0.3,61.1,438.1,0.044,32.696,-0.1783696810795471,-0.3872217930119312,1
537,537,green tomato,42,0.4,0.024,0.018,0.1,9.3,7.3,2.2,2.0,0.0,0.055,169.3,0.0,0.1,0.027,0.0,0.017,0.9,0.9,0.1,42.6,0.0,0.7,0.003,23.7,0.2,0.9,18.2,0.2,51.0,371.3,0.051,0.1,81.1,-0.2980583269686492,-0.534467301550199,1
538,538,beet greens raw,8,0.078,0.026,0.037,0.015,1.6,0.2,0.8,1.4,0.0,0.013,34.6,0.0,0.008,0.064,0.0,0.068,0.2,0.027,0.087,11.4,0.0,0.6,0.2,44.5,0.092,1.0,26.6,0.1,15.6,289.6,0.039,0.1,60.771,-0.7635085549105168,-0.2769345313132563,1
539,539,savoy cabbage cooked,41,0.2,0.076,0.023,0.003,9.2,0.0,3.1,4.8,0.0,0.05,156.4,0.0,0.0,0.076,0.039,0.0,0.066,0.012,0.3,0.3,28.9,0.0,0.0,0.0,51.0,0.089,0.6,40.8,0.3,56.1,312.8,0.077,17.612,-0.5784452395581228,-0.49041513359136574,1
540,540,witloof chicory,9,0.031,0.076,0.077,0.027,2.1,0.0,0.5,1.6,0.0,0.022,50.1,0.0,0.029,0.016,0.0,0.068,0.015,0.053,0.096,1.5,0.0,0.0,0.0,10.1,0.083,0.1,5.3,0.063,13.8,111.8,0.035,0.079,15.994,-1.0761803592169004,-0.06067142872349302,1
541,541,turnips cooked,34,0.1,0.082,0.089,0.076,7.9,4.7,1.1,3.1,0.0,0.017,146.0,0.0,0.0,0.001,0.096,0.0,0.011,0.5,0.2,0.1,18.1,0.0,0.082,0.063,34.3,0.025,0.3,12.5,0.2,29.6,210.6,0.017,12.408,-0.8001426946094525,-0.31964032020533734,1
542,542,dried tomatoes,5,0.053,0.032,0.032,0.086,1.1,0.8,0.3,0.2,0.0,0.069,0.3,0.0,0.013,0.022,0.0,0.056,0.2,0.072,0.034,0.8,0.0,0.079,0.09,2.2,0.082,0.2,3.9,0.065,7.1,68.5,0.061,0.085,4.838,-1.277789991927533,0.07463704771519668,1
543,543,radicchio,15,0.2,0.031,0.048,0.024,2.9,0.4,0.9,0.6,0.0,0.033,60.5,0.0,0.039,0.039,0.0,0.077,0.2,0.2,0.048,5.2,0.0,1.5,0.2,12.4,0.2,0.4,8.5,0.087,26.0,196.3,0.042,0.4,22.6,-1.0218119247204631,-0.06784873297227531,1
544,544,mixed vegetables cooked,118,0.3,0.0,0.09,0.1,23.8,5.7,5.2,8.0,0.0,0.089,151.5,0.0,0.0,0.1,0.053,0.0,0.2,1.5,0.3,0.1,5.8,0.0,0.7,0.083,45.5,0.2,1.5,40.0,0.7,92.8,307.6,0.022,37.698,0.408450253826912,-0.8250889821288631,1
